"","id","name","sensor","unit","dur_code","collection_method","start_date","end_date"
"1","ABJ","A&B CANAL NR JOHNSTONVILLE","FLOW","CFS","event","COMPUTED",2005-07-08,2007-09-27
"2","ABJ","A&B CANAL NR JOHNSTONVILLE","RIV STG","FEET","event","SATELLITE",2005-07-08,2007-09-27
"3","ABJ","A&B CANAL NR JOHNSTONVILLE","BAT VOL","VOLTS","hourly","SATELLITE",2005-07-08,2007-09-27
"4","ACZ","ALHAMBRA CREEK AT D STREET","RIV STG","FEET","event","DATA XCHG-CCC",2017-01-07,2021-06-01
"5","AMC","ARCADE CREEK AT WINDING WAY","RAINTIP","INCHES","event","DATA XCHG-NWS",1995-10-01,2021-06-01
"6","AMC","ARCADE CREEK AT WINDING WAY","RIV STG","FEET","event","DATA XCHG-NWS",1995-10-01,2021-06-01
"7","ANH","SAN JOAQUIN RIVER AT ANTIOCH","EL COND","uS/cm","daily","COMPUTED",2008-01-18,2021-06-01
"8","ANH","SAN JOAQUIN RIVER AT ANTIOCH","TEMP W","DEG F","daily","COMPUTED",2002-01-01,2021-06-01
"9","ANH","SAN JOAQUIN RIVER AT ANTIOCH","TEMPW C","DEG C","daily","COMPUTED",2011-12-06,2021-06-01
"10","ANH","SAN JOAQUIN RIVER AT ANTIOCH","BAT VOL","VOLTS","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"11","ANH","SAN JOAQUIN RIVER AT ANTIOCH","CHLORPH","ug/L","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"12","ANH","SAN JOAQUIN RIVER AT ANTIOCH","EL CONDB","uS/cm","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"13","ANH","SAN JOAQUIN RIVER AT ANTIOCH","EL COND","uS/cm","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"14","ANH","SAN JOAQUIN RIVER AT ANTIOCH","RIV STG","FEET","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"15","ANH","SAN JOAQUIN RIVER AT ANTIOCH","SOLAR R","W/M^2","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"16","ANH","SAN JOAQUIN RIVER AT ANTIOCH","TEMP","DEG F","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"17","ANH","SAN JOAQUIN RIVER AT ANTIOCH","TEMP W","DEG F","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"18","ANH","SAN JOAQUIN RIVER AT ANTIOCH","DIS OXY","MG/L","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"19","ANH","SAN JOAQUIN RIVER AT ANTIOCH","PH VAL","PH","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"20","ANH","SAN JOAQUIN RIVER AT ANTIOCH","TURB W","NTU","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"21","ANH","SAN JOAQUIN RIVER AT ANTIOCH","WIND DR","DEG","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"22","ANH","SAN JOAQUIN RIVER AT ANTIOCH","WIND SP","MPH","event","DATA XCHG-DWR DES",2008-10-16,2021-06-01
"23","ANH","SAN JOAQUIN RIVER AT ANTIOCH","BAT VOL","VOLTS","hourly","DATA XCHG-DWR DES",1995-01-01,2021-06-01
"24","ANH","SAN JOAQUIN RIVER AT ANTIOCH","CHLORPH","ug/L","hourly","DATA XCHG-DWR DES",2008-01-17,2021-06-01
"25","ANH","SAN JOAQUIN RIVER AT ANTIOCH","EL CONDB","uS/cm","hourly","DATA XCHG-DWR DES",2008-01-17,2021-06-01
"26","ANH","SAN JOAQUIN RIVER AT ANTIOCH","EL COND","uS/cm","hourly","DATA XCHG-DWR DES",2008-01-18,2021-06-01
"27","ANH","SAN JOAQUIN RIVER AT ANTIOCH","RIV STG","FEET","hourly","SATELLITE",1984-01-01,2021-06-01
"28","ANH","SAN JOAQUIN RIVER AT ANTIOCH","SOLAR R","W/M^2","hourly","DATA XCHG-DWR DES",2008-01-17,2021-06-01
"29","ANH","SAN JOAQUIN RIVER AT ANTIOCH","TEMP","DEG F","hourly","SATELLITE",2008-01-17,2021-06-01
"30","ANH","SAN JOAQUIN RIVER AT ANTIOCH","TEMP W","DEG F","hourly","DATA XCHG-DWR DES",1995-01-01,2021-06-01
"31","ANH","SAN JOAQUIN RIVER AT ANTIOCH","DIS OXY","MG/L","hourly","DATA XCHG-DWR DES",2003-02-06,2021-06-01
"32","ANH","SAN JOAQUIN RIVER AT ANTIOCH","PH VAL","PH","hourly","SATELLITE",2008-01-18,2021-06-01
"33","ANH","SAN JOAQUIN RIVER AT ANTIOCH","TURB W","NTU","hourly","DATA XCHG-DWR DES",2008-01-17,2021-06-01
"34","ANH","SAN JOAQUIN RIVER AT ANTIOCH","WIND DR","DEG","hourly","DATA XCHG-DWR DES",1995-02-01,2021-06-01
"35","ANH","SAN JOAQUIN RIVER AT ANTIOCH","WIND SP","MPH","hourly","DATA XCHG-DWR DES",1995-02-01,2021-06-01
"36","ANH","SAN JOAQUIN RIVER AT ANTIOCH","EL CND","mS/cm","daily","COMPUTED",1995-12-01,2008-01-18
"37","ANH","SAN JOAQUIN RIVER AT ANTIOCH","EL CND","mS/cm","hourly","MICROWAVE",1984-02-01,2008-01-18
"38","ANH","SAN JOAQUIN RIVER AT ANTIOCH","RIVST88","FEET","hourly","COMPUTED",2006-02-01,2006-09-30
"39","ANL","ANTELOPE CREEK AT LANDFILL","RIV STG","FEET","event","ALERT",1995-10-01,2001-10-07
"40","ARD","ARCADE CREEK AT SUNRISE BLVD","RAINTIP","INCHES","event","DATA XCHG-NWS",2019-02-27,2021-06-01
"41","ARD","ARCADE CREEK AT SUNRISE BLVD","RIV STG","FEET","event","DATA XCHG-NWS",1997-01-27,2021-06-01
"42","ARW","ARDEN WAY","RAIN","INCHES","daily","COMPUTED",2003-10-01,2021-06-01
"43","ARW","ARDEN WAY","PPT INC","INCHES","daily","COMPUTED",1989-03-06,2021-06-01
"44","ARW","ARDEN WAY","RAINTIP","INCHES","event","DATA XCHG-NWS",1995-10-01,2021-06-01
"45","ARW","ARDEN WAY","RIV STG","FEET","event","DATA XCHG-NWS",1995-10-01,2021-06-01
"46","BBD","BUTTE CREEK NEAR DE SABLA","RIV STG","FEET","event","SATELLITE",2014-01-21,2021-06-01
"47","BBD","BUTTE CREEK NEAR DE SABLA","BAT VOL","VOLTS","hourly","SATELLITE",1999-05-25,2021-06-01
"48","BBD","BUTTE CREEK NEAR DE SABLA","RIV STG","FEET","hourly","SATELLITE",1999-05-25,2021-06-01
"49","BBQ","STONEY CK BLW BLACK BUTTE DAM","BAT VOL","VOLTS","event","SATELLITE",2010-01-20,2021-06-01
"50","BBQ","STONEY CK BLW BLACK BUTTE DAM","RIV STG","FEET","event","SATELLITE",2010-01-20,2021-06-01
"51","BBQ","STONEY CK BLW BLACK BUTTE DAM","TEMP W","DEG F","event","SATELLITE",2010-01-20,2021-06-01
"52","BCQ","CHOWCHILLA R BLW BUCHANAN DAM","BAT VOL","VOLTS","event","SATELLITE",2010-01-29,2021-06-01
"53","BCQ","CHOWCHILLA R BLW BUCHANAN DAM","RIV STG","FEET","event","SATELLITE",2010-01-29,2021-06-01
"54","BCQ","CHOWCHILLA R BLW BUCHANAN DAM","TEMP W","DEG F","event","SATELLITE",2010-01-29,2021-06-01
"55","BDH","BUTTE CK NR DURHAM BLW GORRILL DAM","BAT VOL","VOLTS","event","SATELLITE",2015-10-29,2021-06-01
"56","BDH","BUTTE CK NR DURHAM BLW GORRILL DAM","RIV STG","FEET","event","SATELLITE",2015-10-29,2021-06-01
"57","BDL","BELDON LANDING","EL COND","uS/cm","daily","COMPUTED",2008-03-01,2021-06-01
"58","BDL","BELDON LANDING","BAT VOL","VOLTS","event","DATA XCHG-DWR DES",2009-05-27,2021-06-01
"59","BDL","BELDON LANDING","CHLORPH","ug/L","event","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"60","BDL","BELDON LANDING","EL COND","uS/cm","event","DATA XCHG-DWR DES",2009-05-27,2021-06-01
"61","BDL","BELDON LANDING","RIV STG","FEET","event","DATA XCHG-DWR DES",2009-05-27,2021-06-01
"62","BDL","BELDON LANDING","TEMP W","DEG F","event","DATA XCHG-DWR DES",2009-05-27,2021-06-01
"63","BDL","BELDON LANDING","DIS OXY","MG/L","event","DATA XCHG-DWR DES",2017-12-01,2021-06-01
"64","BDL","BELDON LANDING","PH VAL","PH","event","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"65","BDL","BELDON LANDING","TURB W","NTU","event","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"66","BDL","BELDON LANDING","BAT VOL","VOLTS","hourly","DATA XCHG-DWR DES",1995-01-01,2021-06-01
"67","BDL","BELDON LANDING","CHLORPH","ug/L","hourly","DATA XCHG-DWR DES",2018-07-01,2021-06-01
